ing_indic,ing_nacionalidad,ing_periodo,ing_valor
INGRESO_PAX,Extranjero,202209,53892
INGRESO_PAX,Colombiano,202209,58947
INGRESO_PAX,Colombiano,202109,45653
INGRESO_PAX,Extranjero,202109,27414
INGRESO_PAX,Extranjero,202009,1644
INGRESO_PAX,Colombiano,202009,3046
INGRESO_PAX,Extranjero,201909,30207
INGRESO_PAX,Colombiano,201909,41419
INGRESO_PAX,Extranjero,201809,24527
INGRESO_PAX,Colombiano,201809,37324
INGRESO_PAX,Extranjero,201709,22075
INGRESO_PAX,Colombiano,201709,32537
INGRESO_PAX,Extranjero,201609,19240
INGRESO_PAX,Colombiano,201609,31413
INGRESO_PAX,Colombiano,201509,29147
INGRESO_PAX,Extranjero,201509,21279
INGRESO_PAX,Colombiano,201409,29476
INGRESO_PAX,Extranjero,201409,11588
INGRESO_PAX,Extranjero,201309,10947
INGRESO_PAX,Colombiano,201309,24441
INGRESO_PAX,Extranjero,201209,9655
INGRESO_PAX,Colombiano,201209,21359
INGRESO_PAX,Colombiano,201109,16784
INGRESO_PAX,Extranjero,201109,8171
INGRESO_PAX,Extranjero,201009,9156
INGRESO_PAX,Colombiano,201009,16777
INGRESO_PAX,Colombiano,200909,24148
INGRESO_PAX,Extranjero,200909,10341
INGRESO_PAX,Extranjero,200809,5091
INGRESO_PAX,Colombiano,200809,12442
INGRESO_PAX,Extranjero,202208,63523
INGRESO_PAX,Colombiano,202208,66971
INGRESO_PAX,Extranjero,202108,26448
INGRESO_PAX,Colombiano,202108,49159
INGRESO_PAX,Colombiano,202008,143
INGRESO_PAX,Extranjero,202008,10
INGRESO_PAX,Extranjero,201908,38546
INGRESO_PAX,Colombiano,201908,46436
INGRESO_PAX,Colombiano,201808,39954
INGRESO_PAX,Extranjero,201808,30107
INGRESO_PAX,Colombiano,201708,40346
INGRESO_PAX,Extranjero,201708,25702
INGRESO_PAX,Colombiano,201608,36039
INGRESO_PAX,Extranjero,201608,24908
INGRESO_PAX,Colombiano,201508,34549
INGRESO_PAX,Extranjero,201508,24308
INGRESO_PAX,Extranjero,201408,16023
INGRESO_PAX,Colombiano,201408,34362
INGRESO_PAX,Extranjero,201308,17585
